,textract_conf_approval,textract_conf_twenty,tesseract_conf_approval,tesseract_conf_twenty,doc,RegId,RegIdConf,approval_textract,approval_tesseract,approval_table_lookup,twenty_textract,twenty_tesseract,twenty_table_lookup,history
10,,77.52,,82.0,CUR6470-01_2767_05122023_0001133280-C001404339-00-bottom.tif,Y0020_WCM_56038E C INTERNAL APPROVED 06052020 NAOWCMEOB56038E_0000,93.04020594367981,,,Y0020_WCM_56038E C INTERNAL APPROVED 06052020,NAOWCMEOB56038E_0000,NAOWCMEOBS6038E_0000,NA0WCMEOB56038E_0000,"['Tesseract app code is 020_ WCM_ 56038E_ C INTERNAL APPROVED 06052020', 'Textract app code is Y0020_WCM_56038E_C INTERNAL APPROVED 06052020', 'Tesseract twenty code is NAOWCMEOBS6038E_0000', 'Textract twenty code is NAOWCMEOB56038E_0000']"
11,,95.18,,85.0,CUR6470-01_2767_05122023_0001133280-C001404351-00-bottom.tif,Y0020_WCM_80379E_C INTERNAL APPROVED 07202021 NA2WCMLTR80379E_2022,95.4419937133789,,,Y0020_WCM_80379E_C INTERNAL APPROVED 07202021,NA2WCMLTR80379E_2022,NA2WCMLTR80379E_2022,NA2WCMLTR80379E_2022,"['Tesseract app code is Y0020_WCM_80379E_C INTERNAL APPROVED 07202021', 'Textract app code is Y0020_WCM_80379E_CINTERNAL APPROVED 07202021', 'Tesseract twenty code is NA2WCMLTR80379E_2022', 'Textract twenty code is NA2WCMLTR80379E_2022']"
12,95.08,95.08,89.4,89.4,CUR6470-01_2767_05122023_0001133284-C001404427-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,99.22424652099609,Y0020_WCM_100186E_CINTERNAL APPROVED 07252022,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,NA3WCMEOB00186E_0000,NA3WCMEOB00186E_0000,NA3WCMEOB00186E_0000,"['Tesseract app code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Textract app code is Y0020_WCM_100186E_CINTERNAL APPROVED 07252022', 'Tesseract twenty code is NA3WCMEOB00186E_0000', 'Textract twenty code is NA3WCMEOB00186E_0000']"
13,,,,,CUR6470-01_2767_05122023_0001133287-C001404521-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,63.81751251220703,,,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,,,NA3WCMEOB00186E_0000,"['Tesseract app code is CODLACL YOUR PIAN LOT GCTALS Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Textract app code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Tesseract twenty code is NA3WCMEOBO0186E 0000', 'Textract twenty code is NA3WCMEOB00186E_0000']"
14,,,,,CUR6470-01_2767_05122023_0001133289-C001404594-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,91.04216766357422,,,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,,,NA3WCMEOB00186E_0000,"['Tesseract app code is COMA YOU PLA 107 UCLALIS Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Textract app code is Y0020_WCM_100186E_CINTERNAL APPROVED 07252022', 'Tesseract twenty code is NA3WCMEOB00186E 0000', 'Textract twenty code is NA3WCMEOB00186E_0000']"
15,,90.34,,75.0,CUR6470-01_2768_05122023_0001133207-C001404694-01-bottom.tif,WCM_46811E_C INTERNAL APPROVED 10292019 NA1WCMCRD88526E_0000,99.62738800048828,,,WCM_46811E_C INTERNAL APPROVED 10292019,NA1WCMCRD88526E_0000,NA1WCMCRD88526E_0000,NA1WCMCRD88526E_0000,"['Tesseract app code is LD MAE IS WSUS VY EE OANCORP BANK PURSUANT TO A LICENSE BANCORP BANK MEMBER FDIC 2021 WEX HEALTH INC ALL RIGHTS RESERVED 51703067', 'Textract app code is BANCORP BANK; MEMBER FDIC. 2021 WEX HEALTH, INC. ALL RIGHTS RESERVED. 51703067', 'Tesseract app code is EE EE EE EEE NE EE I VV ELAN TOG WCM_46811E_INTERNAL APPROVED 10292019', 'Textract app code is WCM_46811E_INTERNAL APPROVED 10292019', 'Tesseract twenty code is NA1WCMCRD88526E_0000', 'Textract twenty code is NA1WCMCRD88526E_0000']"
16,,93.08,,88.0,CUR6470-01_2768_05122023_0001133207-C001404699-01-bottom.tif,WCM_46811E_C INTERNAL APPROVED 10292019 NA1WCMCRD88526E_0000,98.59195709228516,,,WCM_46811E_C INTERNAL APPROVED 10292019,NA1WCMCRD88526E_0000,NA1WCMCRD88526E_0000,NA1WCMCRD88526E_0000,"['Tesseract app code is EET EE OR EL _E AE EER EE EE RR TS SR EE EE BANCORP BANK MEMBER FDIC 2021 WEX HEALTH INC ALL RIGHTS RESERVED 51703067', 'Textract app code is BANCORP BANK; MEMBER FDIC. 2021 WEX HEALTH, INC. ALL RIGHTS RESERVED. 51703067', 'Tesseract app code is WCM_46811E_INTERNAL APPROVED 10292019', 'Textract app code is WCM_46811E_INTERNAL APPROVED 10292019', 'Tesseract twenty code is NA1WCMCRD88526E_0000', 'Textract twenty code is NA1WCMCRD88526E_0000']"
17,,93.63,,89.0,CUR6470-01_2768_05122023_0001133207-C001404706-01-bottom.tif,WCM_46811E_C INTERNAL APPROVED 10292019 NA1WCMCRD88526E_0000,99.64508056640625,,,WCM_46811E_C INTERNAL APPROVED 10292019,NA1WCMCRD88526E_0000,NA1WCMCRD88526E_0000,NA1WCMCRD88526E_0000,"['Tesseract app code is _ EEE ELE ELE WO EEE EEE TEE BANCORP BANK MEMBER FDIC 2021 WEX HEALTH INC ALL RIGHTS RESERVED 51703067', 'Textract app code is BANCORP BANK; MEMBER FDIC. 2021 WEX HEALTH, INC. ALL RIGHTS RESERVED. 51703067', 'Tesseract app code is 5 EEE EEE EEE OE WCM_46811E_INTERNAL APPROVED 10292019', 'Textract app code is WCM_46811E_INTERNAL APPROVED 10292019', 'Tesseract twenty code is NA1WCMCRD88526E_0000', 'Textract twenty code is NA1WCMCRD88526E_0000']"
18,,92.88,,85.0,CUR6470-01_2768_05122023_0001133207-C001404721-01-bottom.tif,WCM_46811E_C INTERNAL APPROVED 10292019 NA1WCMCRD88526E_0000,92.86788940429688,,,WCM_46811E_C INTERNAL APPROVED 10292019,NA1WCMCRD88526E_0000,NA1WCMCRD88526E_0000,NA1WCMCRD88526E_0000,"['Tesseract app code is CO OL EEE BANCORP BANK MEMBER FDIC 2021 WEX HEALTH INC ALL RIGHTS TESERVED 51703067', 'Textract app code is BANCORP BANK; MEMBER FDIC. 2021 WEX HEALTH, INC. ALL RIGHTS RESERVED. 51703067', 'Tesseract app code is WCM _46811E_ INTEMAL APPROVED 10292019', 'Textract app code is WCM_46811E_INTERNAL APPROVED 10292019', 'Tesseract twenty code is NA1WCMCRD88526E_0000', 'Textract twenty code is NA1WCMCRD88526E_0000']"
19,,,,,CUR6470-01_2769_05122023_0001133213-C001404977-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,85.427490234375,,,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,,,NA3WCMEOB00186E_0000,"['Tesseract app code is Y0020_WCM_100186E _C INTEMAL APPROVED 07252022', 'Textract app code is (0020_WCM_100186E_CINTERNALAPPROVED 07252022', 'Tesseract twenty code is NA3WCMEOB00186E_0000', 'Textract twenty code is NA3WCMEOB00186E_0000']"
20,,,,,CUR6470-01_2769_05122023_0001133219-C001405112-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,88.796142578125,,,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,,,NA3WCMEOB00186E_0000,"['Tesseract app code is Y0020_WCM_100186E_C INTEMAL APPROVED 07252022', 'Textract app code is Y0020_WCM_100186E_CINTERNAL APPROVED 07252022', 'Tesseract twenty code is NA3WCMEOB00186E_0000', 'Textract twenty code is NA3WCMEOB00186E_0000']"
